,BbMf_PPema_05_S9.counts.cut.txt,BbMf_PPema_07_S11.counts.cut.txt,BbMf_PPema_08_S12.counts.cut.txt,BbSf_PScoc_05_S13.counts.cut.txt,BbSf_PScoc_06_S14.counts.cut.txt,BbSf_PScoc_07_S15.counts.cut.txt,EnMf_PPema_09_S17.counts.cut.txt,EnMf_PPema_10_sub_S18.counts.cut.txt,EnMf_PPema_12_S20.counts.cut.txt,EnSf_Pscoc_09_S21.counts.cut.txt,EnSf_Pscoc_11_S23.counts.cut.txt,EnSf_Pscoc_12_S24.counts.cut.txt,UF_PPema_02_S2.counts.cut.txt,UF_PPema_03_S3.counts.cut.txt,UF_PPema_04_S4.counts.cut.txt,UF_PScoc_02_S6.counts.cut.txt,UF_PScoc_03_S7.counts.cut.txt,UF_PScoc_04_S8.counts.cut.txt
LOC115319383,18.98201,63.83753,89.09329,53.17781,54.56657,71.77328,46.08762,21.67646,17.84445,63.6614,203.2945,60.99312,316.4876,356.9774,345.0505,275.602,366.5417,334.0213
LOC8032774,110.4408,16.53346,14.5789,35.45187,25.00968,64.59595,13.82629,10.00452,0,11.5748,39.48886,0,57.79952,25.69156,51.24512,16.90012,32.08243,35.18482
LOC8032777,50.04349,40.87439,74.51438,83.73977,45.47214,38.03984,106.0015,65.02938,261.7187,74.51278,38.02631,63.09634,102.9113,114.2598,38.94629,104.6508,72.98752,94.29533
LOC115319384,58.67167,0,0,0,5.305083,31.58024,0,6.66968,0,0,0,0,0,18.25453,29.38054,12.35009,0,2.345655
LOC8032594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.61556,2.600019,4.812364,0
LOC8032591,0,0,0,0,0,0,0,13.33936,0,0,0,0,0,0,0,0,0,0
LOC8032590,157.033,100.1193,152.2685,162.284,169.7627,233.2632,138.2629,131.7262,92.19635,213.4104,122.8542,124.0895,28.19489,49.35483,3.416341,85.80063,89.83079,49.72789
LOC8032589,174.2894,209.8831,150.6486,162.284,209.1718,320.8266,221.2206,176.7465,127.8853,206.8996,171.1184,134.6055,47.22643,101.414,57.39453,76.70056,111.4864,74.1227
LOC8032588,8.628187,0,4.859634,6.418011,0,0,0,6.66968,0,5.063975,13.89423,0,14.80232,10.1414,34.16341,9.750072,0,19.7035
LOC115319385,0,7.348205,0,0,0,0,0,1.66742,0,2.170275,6.581477,0,0,1.352187,21.86458,0,2.406182,13.13567
LOC8032586,291.6327,186.4607,354.7533,323.9568,308.4527,272.7385,161.3067,240.1085,318.2261,242.3474,434.3775,128.2959,1558.472,1419.121,1427.347,1238.909,1058.72,1215.049
Trnat-cgu_22,15.53074,0,0,0.6112392,0.757869,0,0,3.33484,0,0,1.46255,4.206422,0,5.408749,0,0,0,0
Trnaf-gaa_31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC8032596,267.4738,303.1134,126.3505,166.5627,175.8256,228.239,202.7855,258.4501,359.8632,351.5846,156.4929,178.773,320.012,279.9028,465.989,254.1519,406.6448,237.8494
LOC115319388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115319390,0,0,0,0,0,0,0,0,0,0,8.775302,0,0,0,0,0,0,0
LOC8054050,921.4904,1189.95,1020.523,1022.297,1066.322,1124.687,820.3597,947.0946,981.445,952.0274,666.1917,578.3831,1879.894,1180.459,1911.101,883.3565,971.2955,830.831
LOC8042188,3.451275,29.85208,0,44.92608,8.336559,0,0,38.35066,47.58521,34.7244,38.75758,0,89.51876,79.77905,75.84278,31.20023,50.52982,46.44397
LOC8029406,77.65369,40.41513,32.39756,37.28559,0,20.81425,152.0892,48.35518,41.63706,37.6181,48.99544,35.75459,427.8574,214.3217,489.9033,271.702,330.449,219.0842
LOC115319391,53.49476,5.511154,22.67829,8.251729,24.25181,27.27385,101.3928,10.00452,20.81853,11.5748,13.89423,0,0,41.9178,2.049805,0,8.822667,0
LOC115319392,0,0,0,1.833717,0,0,0,0,0,0,0,0,4.934105,0.6760936,0,0.6500048,0.8020607,0
Trnaa-cgc_10,0,0,0,0.3056196,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC8025146,6.90255,25.25945,61.55536,5.195533,40.16706,18.66105,78.34896,58.3597,0,31.8307,46.07034,33.65138,26.08027,0,9.565756,119.6009,27.27006,84.91271
LOC8031025,0,0,0,0,0,7.895061,0,0,0,0,0,0,14.80232,3.380468,0,3.250024,0,0
LOC8031015,58.67167,40.87439,38.87707,29.6451,36.37771,0.7177328,0,41.6855,65.42967,20.97933,27.78846,35.75459,36.65335,0,0,19.50014,12.83297,16.41958
LOC8031017,555.6553,577.7526,513.5013,550.7265,354.6827,468.6795,437.8324,616.9454,576.9707,562.8247,684.4736,384.8876,628.746,548.988,383.3135,511.5538,495.6735,548.4141
LOC8031018,245.0405,78.9932,234.8823,217.9068,68.20821,140.6756,253.4819,255.1153,163.5742,226.432,176.2373,176.6697,28.19489,43.26999,21.18132,50.70037,64.96691,17.82698
LOC8031020,631.5833,614.4936,566.9573,641.1899,515.3509,681.1285,391.7448,573.5925,529.3855,497.7164,716.6497,548.9381,367.2384,349.5404,347.1003,313.9523,277.513,413.7735
LOC8031022,1223.477,1157.342,1653.895,1144.24,1101.942,942.3832,1373.411,2271.026,1049.849,1182.077,1056.693,1301.888,986.821,868.1042,843.8363,833.9561,924.7759,2473.728
LOC8031023,2177.754,2204.002,2181.976,2155.535,2578.27,2516.371,2700.735,2537.813,1546.519,1735.497,1982.487,2035.908,690.7747,844.4409,670.9694,728.0054,619.9929,581.7224
Trnag-ucc_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trnag-ucc_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115319397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trnag-ucc_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115319401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.950014,0,0
LOC115319399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115319400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC8030391,127.6972,88.17846,144.1691,81.90605,59.11378,180.1509,115.2191,91.7081,83.27412,109.2372,150.6427,98.85093,1283.572,759.9292,830.1709,560.9541,664.1062,697.1287
LOC8051834,50.04349,67.05237,19.43854,91.99149,51.53509,43.7817,216.6118,95.04294,199.2631,38.34153,103.1098,79.92202,45.11182,58.14405,86.0918,203.4515,141.9647,60.5179
LOC8028993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC8050629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115319416,0,0,0,13.44726,0,35.88664,0,0,0,0,10.23785,0,0,0,0,0,0,0
LOC115319417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
